구분,,2022.02.,2022.03.,2022.04.,2022.05.,2022.06.,2022.07.,2022.08.,2022.09.,2022.10.,2022.11.,2022.12.,2023.01.,2023.02.
서울시 평균,34.23076923,40,42,45,33,22,25,20,22,25,39,37,49,46
강남구,33.53846154,38,40,42,31,23,25,21,23,26,39,36,46,46
강동구,35,44,44,45,32,23,23,20,21,25,40,41,50,47
강북구,35.30769231,44,44,45,34,24,27,23,22,22,36,41,49,48
강서구,38.76923077,45,48,50,36,23,26,21,25,30,45,45,57,53
관악구,36.23076923,36,40,45,33,23,30,24,26,30,46,39,50,49
광진구,32.76923077,37,40,44,32,22,26,20,20,22,37,37,46,43
구로구,36.61538462,40,45,52,39,21,21,16,26,29,46,40,51,50
금천구,32.07692308,40,38,42,30,20,25,19,21,24,38,33,43,44
노원구,35.30769231,44,44,46,33,23,23,21,20,24,39,41,51,50
도봉구,30.30769231,38,39,42,32,21,20,17,17,21,35,26,43,43
동대문구,34.76923077,39,41,48,35,25,27,25,21,24,37,38,46,46
동작구,36.15384615,44,44,46,32,23,28,23,24,28,41,40,50,47
마포구,31.23076923,36,38,43,32,20,24,18,22,23,35,34,41,40
서대문구,31.84615385,38,40,44,33,20,21,17,20,22,37,33,46,43
서초구,34.23076923,37,43,47,34,23,23,16,22,24,42,37,48,49
성동구,36,41,42,45,35,24,28,24,24,27,41,39,49,49
성북구,35.38461538,41,46,49,38,24,23,19,22,24,42,36,48,48
송파구,35.69230769,40,43,46,36,24,27,22,24,28,40,38,49,47
양천구,36.15384615,45,46,45,31,23,25,22,24,26,41,39,53,50
영등포구,33.53846154,38,40,41,30,21,25,21,24,27,40,36,48,45
용산구,34.46153846,40,42,45,35,22,26,20,23,26,38,36,48,47
은평구,34,39,44,52,37,23,23,20,22,22,36,35,46,43
종로구,34.07692308,40,43,45,32,20,23,21,21,26,40,39,48,45
중구,32.30769231,36,34,39,28,19,22,18,20,23,37,37,67,40
중랑구,33.69230769,40,40,43,33,23,27,21,21,23,38,38,46,45
