행정구역(시군구)별,2022.02.,2022.03.,2022.04.,2022.05.,2022.06.,2022.07.,2022.08.,2022.09.,2022.10.,2022.11.,2022.12.,2023.01.,2023.02.
서울특별시,9508451 ,9506778 ,9500480 ,9496887 ,9494807 ,9493211 ,9488454 ,9450768 ,9443722 ,9436836 ,9428372 ,9424873 ,9427583 
종로구,144575 ,144275 ,144005 ,143850 ,143624 ,143547 ,143499 ,141978 ,141861 ,141650 ,141379 ,141223 ,141433 
중구,122167 ,122173 ,122087 ,122054 ,122088 ,122138 ,121960 ,120969 ,120648 ,120545 ,120437 ,120317 ,120555 
용산구,222413 ,222169 ,222009 ,222083 ,222263 ,222262 ,222230 ,219275 ,219102 ,218945 ,218650 ,218412 ,218175 
성동구,285137 ,285073 ,284573 ,284173 ,283821 ,283618 ,283603 ,282250 ,281694 ,281370 ,281000 ,280707 ,280474 
광진구,340494 ,340707 ,340396 ,340062 ,339893 ,339853 ,339567 ,338257 ,337900 ,337713 ,337416 ,337258 ,337071 
동대문구,337881 ,337982 ,337570 ,337443 ,337330 ,337198 ,337233 ,337106 ,337273 ,337241 ,336644 ,336415 ,337293 
중랑구,388606 ,389043 ,388941 ,388736 ,388509 ,388307 ,387840 ,386390 ,385976 ,385638 ,385318 ,385097 ,385129 
성북구,431892 ,433150 ,433331 ,433531 ,433559 ,433583 ,433386 ,431827 ,431581 ,431047 ,430397 ,429967 ,430170 
강북구,298074 ,297384 ,296942 ,296726 ,296653 ,296489 ,296073 ,294876 ,294429 ,293984 ,293660 ,293313 ,293119 
도봉구,316631 ,316098 ,315522 ,315162 ,314791 ,314662 ,313835 ,312788 ,312427 ,312053 ,311694 ,311260 ,310853 
노원구,510527 ,510486 ,509658 ,508867 ,508066 ,507575 ,507076 ,505503 ,505058 ,504609 ,503734 ,502835 ,502820 
은평구,472640 ,472259 ,473131 ,473669 ,473674 ,473529 ,472954 ,470289 ,468988 ,467851 ,466746 ,466237 ,465627 
서대문구,305793 ,305866 ,305721 ,305615 ,305623 ,305716 ,306253 ,305149 ,305113 ,305541 ,306337 ,307277 ,308194 
마포구,368560 ,368331 ,367613 ,367474 ,367584 ,367473 ,367190 ,365266 ,364698 ,364374 ,364638 ,364938 ,365447 
양천구,446478 ,446182 ,445662 ,444925 ,444548 ,444213 ,443847 ,442145 ,441749 ,441550 ,440881 ,440631 ,440042 
강서구,573531 ,573046 ,572648 ,572959 ,573045 ,572814 ,572230 ,570368 ,570011 ,569456 ,569166 ,568805 ,568666 
구로구,396221 ,396017 ,395555 ,395146 ,394850 ,394745 ,394246 ,393181 ,394212 ,394811 ,395315 ,395461 ,395422 
금천구,230856 ,231098 ,231150 ,231427 ,231565 ,231522 ,231356 ,230504 ,230156 ,229890 ,229642 ,229499 ,229395 
영등포구,376884 ,376740 ,376465 ,376290 ,376437 ,376661 ,377295 ,376216 ,375849 ,375785 ,375675 ,376141 ,376410 
동작구,385490 ,386017 ,385982 ,385755 ,385898 ,385746 ,385379 ,383637 ,382747 ,381704 ,380596 ,379979 ,379622 
관악구,486209 ,486375 ,486361 ,486686 ,486946 ,487172 ,487629 ,486787 ,487201 ,487038 ,486752 ,486863 ,487430 
서초구,410682 ,409823 ,408918 ,408133 ,407672 ,407346 ,406565 ,405076 ,404902 ,404704 ,404325 ,404594 ,405126 
강남구,533286 ,532577 ,532049 ,531744 ,531777 ,532198 ,532500 ,530103 ,529946 ,529698 ,529102 ,528899 ,529962 
송파구,661452 ,662607 ,662963 ,662960 ,662961 ,663070 ,662599 ,660211 ,659788 ,659381 ,658801 ,658604 ,658868 
강동구,461972 ,461300 ,461228 ,461417 ,461630 ,461774 ,462109 ,460617 ,460413 ,460258 ,460067 ,460141 ,460280 
대전광역시,1450862 ,1450057 ,1449360 ,1448933 ,1448401 ,1448182 ,1448240 ,1446602 ,1446863 ,1446749 ,1446072 ,1445806 ,1445875 
동구,221300 ,220860 ,220313 ,220920 ,221043 ,220889 ,220724 ,220511 ,220286 ,220102 ,219751 ,219508 ,219610 
중구,229283 ,229497 ,229531 ,229089 ,229570 ,229712 ,229092 ,228198 ,227934 ,227500 ,227108 ,226780 ,226421 
서구,472935 ,472417 ,471907 ,471247 ,470332 ,469987 ,471029 ,470852 ,471112 ,471033 ,470374 ,470105 ,469709 
유성구,351887 ,351989 ,352557 ,352826 ,352844 ,353151 ,353263 ,353449 ,354066 ,354845 ,356093 ,357147 ,358189 
대덕구,175457 ,175294 ,175052 ,174851 ,174612 ,174443 ,174132 ,173592 ,173465 ,173269 ,172746 ,172266 ,171946 
