구분(4),,2022.02.,2022.03.,2022.04.,2022.05.,2022.06.,2022.07.,2022.08.,2022.09.,2022.10.,2022.11.,2022.12.,2023.01.,2023.02.
대전평균,0.029,0.03,0.032,0.042,0.05,0.041,0.035,0.027,0.028,0.024,0.018,0.015,0.017,0.023
읍내동,0.025,0.026,0.027,0.039,0.044,0.036,0.031,0.023,0.023,0.019,0.014,0.012,0.014,0.018
문평동,0.026,0.025,0.019,0.028,0.045,0.039,0.032,0.023,0.028,0.024,0.018,0.014,0.017,0.023
문창동,0.03,0.032,0.034,0.046,0.052,0.04,0.034,0.027,0.029,0.025,0.019,0.015,0.018,0.025
상대동,0.03,0.031,0.034,0.042,0.051,0.043,0.039,0.035,0.026,0.021,0.016,0.016,0.017,0.021
구성동,0.031,0.03,0.032,0.041,0.053,0.044,0.037,0.033,0.032,0.026,0.018,0.016,0.016,0.025
노은동,0.032,0.033,0.035,0.046,0.054,0.045,0.038,0.029,0.03,0.027,0.02,0.017,0.018,0.025
관평동,0.03,0.032,0.033,0.043,0.052,0.04,0.032,0.026,0.031,0.024,0.019,0.017,0.018,0.025
성남동,0.031,0.029,0.032,0.045,0.052,0.045,0.039,0.03,0.031,0.027,0.022,0.015,0.016,0.023
대성동,0.027,0.031,0.032,0.041,0.044,0.034,0.032,0.021,0.023,0.021,0.016,0.014,0.015,0.022
정림동,0.03,0.033,0.036,0.044,0.051,0.039,0.034,0.026,0.03,0.023,0.019,0.015,0.018,0.025
둔산동,0.03,0.029,0.035,0.043,0.053,0.042,0.035,0.028,0.028,0.023,0.018,0.015,0.019,0.026
